status,"convert(date,date)",sum(amount),count(trans_id),"count(distinct client_id)"
A,1993-01-14,45749,2,2
A,1993-01-17,1100,1,1
A,1993-01-19,700,1,1
A,1993-01-24,900,1,1
A,1993-01-25,900,1,1
A,1993-01-30,1000,1,1
A,1993-01-31,5392.999996960163,3,2
A,1993-02-04,300,1,1
A,1993-02-05,7618,1,1
A,1993-02-07,14693,2,2
A,1993-02-08,2100,3,3
A,1993-02-10,1100,1,1
A,1993-02-11,12154,1,1
A,1993-02-12,93135,4,3
A,1993-02-13,10500,2,2
A,1993-02-14,44749,1,1
A,1993-02-16,4200,1,1
A,1993-02-18,30623,2,2
A,1993-02-19,33410,1,1
A,1993-02-20,700,1,1
A,1993-02-23,35461,2,2
A,1993-02-24,4500,1,1
A,1993-02-26,2200,2,2
A,1993-02-27,200,1,1
A,1993-02-28,64161.599996089935,15,12
A,1993-03-01,3900,1,1
A,1993-03-04,46118,2,2
A,1993-03-05,33958,3,3
A,1993-03-06,19000,1,1
A,1993-03-07,30342,2,2
A,1993-03-09,700,1,1
A,1993-03-10,44485,3,3
A,1993-03-11,12154,1,1
A,1993-03-12,67705,4,4
A,1993-03-13,43344,2,2
A,1993-03-14,70049,2,1
A,1993-03-15,4700,3,3
A,1993-03-16,51498,3,3
A,1993-03-17,16549,1,1
A,1993-03-18,12824,3,3
A,1993-03-19,1100,1,1
A,1993-03-20,43774,3,3
A,1993-03-21,12801,1,1
A,1993-03-22,16400,1,1
A,1993-03-23,39703,1,1
A,1993-03-24,62040,3,3
A,1993-03-25,70480,3,3
A,1993-03-26,49282,2,2
A,1993-03-27,600,1,1
A,1993-03-28,15707,4,4
A,1993-03-29,8600,2,2
A,1993-03-31,62422.69997906685,31,25
A,1993-04-02,1100,1,1
A,1993-04-04,138227,4,3
A,1993-04-05,76158,4,4
A,1993-04-06,41736,3,3
A,1993-04-07,52923,4,4
A,1993-04-08,13700,1,1
A,1993-04-09,29900,2,2
A,1993-04-10,35462,2,2
A,1993-04-11,12154,1,1
A,1993-04-12,125087,6,6
A,1993-04-13,130237,5,5
A,1993-04-14,123145,6,6
A,1993-04-15,69199,2,2
A,1993-04-16,8677,1,1
A,1993-04-17,10600,3,3
A,1993-04-18,6000,1,1
A,1993-04-19,47400,3,3
A,1993-04-20,56790,4,2
A,1993-04-21,29229,3,3
A,1993-04-22,27100,2,2
A,1993-04-23,36337,2,2
A,1993-04-24,11030,2,2
A,1993-04-25,24200,1,1
A,1993-04-26,17586,2,2
A,1993-04-27,42173,4,4
A,1993-04-28,128663,6,4
A,1993-04-29,13472,1,1
A,1993-04-30,29167.79998731613,45,34
A,1993-05-01,24008,1,1
A,1993-05-02,141737,4,2
A,1993-05-03,25724,1,1
A,1993-05-04,24200,2,2
A,1993-05-05,77318,5,5
A,1993-05-06,121459,4,4
A,1993-05-07,60220,5,5
A,1993-05-08,38335,2,2
A,1993-05-09,32719,3,3
A,1993-05-10,74278,3,3
A,1993-05-11,105663,6,5
A,1993-05-12,106543,8,8
A,1993-05-13,56485,4,4
A,1993-05-14,203517,10,8
A,1993-05-15,84064,4,4
A,1993-05-16,23518,2,2
A,1993-05-17,126604,5,5
A,1993-05-18,4800,1,1
A,1993-05-19,60900,3,3
A,1993-05-20,20900,4,4
A,1993-05-21,22763,3,3
A,1993-05-22,14100,2,2
A,1993-05-23,24200,2,2
A,1993-05-24,40958,2,2
A,1993-05-25,158372,5,5
A,1993-05-26,42285,2,2
A,1993-05-27,46100,3,3
A,1993-05-28,110269,7,5
A,1993-05-29,1000,1,1
A,1993-05-30,52064,4,4
A,1993-05-31,17344.89999771118,56,42
A,1993-06-01,23500,1,1
A,1993-06-02,32842,2,2
A,1993-06-03,170648,7,6
A,1993-06-04,38900,3,3
A,1993-06-05,134992,7,5
A,1993-06-06,101415,4,4
