account_id,loan_id,trans_id,trans_amount,balance,k_symbol,loan_amount,status,duration,payments
5270,6077,1548750,44749.0,45549.0,,79608,A,24,3317.0
11265,7284,3393738,1000.0,1000.0,,52788,A,12,4399.0
10364,7121,3122924,1100.0,1100.0,,21924,A,36,609.0
3834,5754,1121963,700.0,700.0,,23052,A,12,1921.0
9307,6895,2809952,900.0,900.0,,41904,A,12,3492.0
5891,6202,1736607,900.0,900.0,,65184,A,12,5432.0
6473,6316,1910780,1100.0,1100.0,,76908,B,12,6409.0
6473,6316,1910790,19961.0,21061.0,,76908,B,12,6409.0
1843,5325,541681,1000.0,1000.0,,105804,A,36,2939.0
6473,6316,3453599,17.0,21078.0,UROK,76908,B,12,6409.0
9307,6895,2809959,5282.0,6182.0,,41904,A,12,3492.0
5270,6077,3669814,110.2,45659.2,UROK,79608,A,24,3317.0
9307,6895,3479816,0.8,6182.8,UROK,41904,A,12,3492.0
9265,6888,2797771,300.0,300.0,,39576,A,12,3298.0
11265,7284,3393740,7618.0,8618.0,,52788,A,12,4399.0
8051,6647,2442343,200.0,200.0,,208320,A,48,4340.0
10364,7121,3122926,14493.0,15593.0,,21924,A,36,609.0
7753,6577,2349697,600.0,600.0,,51696,A,24,2154.0
5622,6150,1657153,700.0,700.0,,83016,A,12,6918.0
9188,6863,2775579,800.0,800.0,,127080,A,60,2118.0
813,5130,237649,1100.0,1100.0,,24312,A,12,2026.0
813,5130,237651,12154.0,13254.0,,24312,A,12,2026.0
7753,6577,2349709,19588.0,20188.0,,51696,A,24,2154.0
7753,6577,2349705,27078.0,47266.0,,51696,A,24,2154.0
5891,6202,1736609,32594.0,33494.0,,65184,A,12,5432.0
3834,5754,1121965,13875.0,14575.0,,23052,A,12,1921.0
1801,5316,527445,700.0,700.0,,165960,A,36,4610.0
11265,7284,3394148,9800.0,18418.0,,52788,A,12,4399.0
5270,6077,1548751,44749.0,80808.2,,79608,A,24,3317.0
10364,7121,3123297,4200.0,19793.0,,21924,A,36,609.0
5622,6150,1657169,24023.0,24723.0,,83016,A,12,6918.0
3834,5754,1122555,6600.0,21175.0,,23052,A,12,1921.0
5622,6150,1657174,33410.0,58133.0,,83016,A,12,6918.0
4937,6004,1450014,700.0,700.0,,143904,A,24,5996.0
9307,6895,2810462,7100.0,13282.8,,41904,A,12,3492.0
9265,6888,2797779,28361.0,28661.0,,39576,A,12,3298.0
5891,6202,1736950,4500.0,28994.0,,65184,A,12,5432.0
6473,6316,1911147,8900.0,36168.0,,76908,B,12,6409.0
6473,6316,1910783,23990.0,45068.0,,76908,B,12,6409.0
7401,6499,2242710,1100.0,1100.0,,80952,A,24,3373.0
2,4959,276,1100.0,1100.0,,80952,A,24,3373.0
2486,5479,726514,200.0,200.0,,24516,A,12,2043.0
5891,6202,3673340,21.6,29015.6,UROK,65184,A,12,5432.0
6473,6316,3453600,102.0,36270.0,UROK,76908,B,12,6409.0
9265,6888,3509732,21.3,28707.9,UROK,39576,A,12,3298.0
10364,7121,3520588,38.3,19831.3,UROK,21924,A,36,609.0
3834,5754,3657066,34.7,21209.7,UROK,23052,A,12,1921.0
1801,5316,3589600,2.9,702.9,UROK,165960,A,36,4610.0
813,5130,3556862,35.5,13289.5,UROK,24312,A,12,2026.0
1801,5316,527456,18972.0,19674.9,,165960,A,36,4610.0
4937,6004,1450025,44455.0,45161.7,,143904,A,24,5996.0
5270,6077,3669815,268.5,81076.7,UROK,79608,A,24,3317.0
5622,6150,3671894,90.2,58223.2,UROK,83016,A,12,6918.0
4937,6004,3667903,6.7,706.7,UROK,143904,A,24,5996.0
7753,6577,3492040,119.6,47385.6,UROK,51696,A,24,2154.0
9307,6895,3479817,25.8,13308.6,UROK,41904,A,12,3492.0
9265,6888,3479717,25.6,28686.6,UROK,39576,A,12,3298.0
11265,7284,3528743,43.9,18461.8,UROK,52788,A,12,4399.0
1843,5325,542076,3900.0,22532.0,,105804,A,36,2939.0
4937,6004,1450026,8813.0,53974.7,,143904,A,24,5996.0
9265,6888,2797781,37305.0,66012.9,,39576,A,12,3298.0
8051,6647,2442346,26040.0,26240.0,,208320,A,48,4340.0
6555,6336,1935476,300.0,300.0,,212400,A,36,5900.0
11265,7284,3393741,7618.0,26079.8,,52788,A,12,4399.0
9265,6888,2798252,19000.0,47012.9,,39576,A,12,3298.0
1843,5325,541684,17632.0,40164.0,,105804,A,36,2939.0
9188,6863,2775582,12710.0,13510.0,,127080,A,60,2118.0
8051,6647,2442701,700.0,25540.0,,208320,A,48,4340.0
7753,6577,2350078,12000.0,35385.6,,51696,A,24,2154.0
5622,6150,1657645,14900.0,43323.2,,83016,A,12,6918.0
2694,5519,789772,17585.0,18285.0,,91632,A,12,7636.0
813,5130,237652,12154.0,25443.5,,24312,A,12,2026.0
5891,6202,1736610,32594.0,61609.6,,65184,A,12,5432.0
3674,5723,1074957,1000.0,1000.0,,23628,A,12,1969.0
7401,6499,2242713,20236.0,21336.0,,80952,A,24,3373.0
3834,5754,1121966,13875.0,35084.7,,23052,A,12,1921.0
11013,7240,3314627,42244.0,42844.0,,274740,A,60,4579.0
9640,6960,2910387,1100.0,20206.0,,76416,A,24,3184.0
5270,6077,1548752,44749.0,125826.0,,79608,A,24,3317.0
5270,6077,1549100,25300.0,48825.7,,79608,A,24,3317.0
6701,6356,1977570,200.0,200.0,,95400,A,36,2650.0
1801,5316,528025,3700.0,23374.9,,165960,A,36,4610.0
11265,7284,3394149,800.0,25279.8,,52788,A,12,4399.0
7753,6577,2349715,36130.0,71515.6,,51696,A,24,2154.0
11013,7240,3315106,7000.0,35844.0,,274740,A,60,4579.0
1801,5316,527446,8368.0,31742.9,,165960,A,36,4610.0
9307,6895,2809960,16549.0,29857.6,,41904,A,12,3492.0
7753,6577,2349722,7824.0,79339.6,,51696,A,24,2154.0
10364,7121,3123298,4800.0,29524.3,,21924,A,36,609.0
7445,6509,2256133,200.0,200.0,,55368,A,24,2307.0
6034,6228,1779017,200.0,200.0,,464520,B,60,7742.0
11065,7249,3331510,1100.0,1100.0,,69360,A,48,1445.0
2762,5533,810128,500.0,500.0,,111384,A,24,4641.0
1801,5316,527466,36574.0,68316.9,,165960,A,36,4610.0
3834,5754,1122556,6700.0,28384.7,,23052,A,12,1921.0
6555,6336,1935491,12801.0,13101.0,,212400,A,36,5900.0
5442,6112,1602507,300.0,300.0,,174744,B,24,7281.0
1787,5314,523621,1100.0,1100.0,,96396,B,12,8033.0
4937,6004,1450518,16400.0,37574.7,,143904,A,24,5996.0
6555,6336,1935478,39703.0,52804.0,,212400,A,36,5900.0
5622,6150,1657162,43050.0,86373.2,,83016,A,12,6918.0
8260,6686,2501876,200.0,200.0,,224604,A,36,6239.0
4937,6004,1450016,18790.0,56364.7,,143904,A,24,5996.0
2486,5479,726530,38820.0,39020.0,,24516,A,12,2043.0
2762,5533,810150,30360.0,30860.0,,111384,A,24,4641.0
5442,6112,1602508,7651.0,7951.0,,174744,B,24,7281.0
9307,6895,2810463,1300.0,28557.6,,41904,A,12,3492.0
6034,6228,1779034,23851.0,24051.0,,464520,B,60,7742.0
5891,6202,1736951,20200.0,41409.6,,65184,A,12,5432.0
6701,6356,1977575,29082.0,29282.0,,95400,A,36,2650.0
5442,6112,1602509,34681.0,42632.0,,174744,B,24,7281.0
6034,6228,1779041,21847.0,45898.0,,464520,B,60,7742.0
9403,6919,2841111,600.0,600.0,,120888,A,36,3358.0
6473,6316,1911148,27700.0,50797.0,,76908,B,12,6409.0
6034,6228,1779037,15436.0,61334.0,,464520,B,60,7742.0
7401,6499,2243131,3700.0,25036.0,,80952,A,24,3373.0
2,4959,697,3700.0,25036.0,,80952,A,24,3373.0
6555,6336,1935487,7707.0,60511.0,,212400,A,36,5900.0
8330,6699,2524756,600.0,600.0,,7656,A,24,319.0
2486,5479,726927,7900.0,31120.0,,24516,A,12,2043.0
6425,6306,1897316,700.0,700.0,,36684,A,12,3057.0
1843,5325,3591351,133.8,40297.8,UROK,105804,A,36,2939.0
2694,5519,3619544,54.1,18339.1,UROK,91632,A,12,7636.0
6701,6356,3677723,23.6,29305.6,UROK,95400,A,36,2650.0
6555,6336,3677024,71.5,60582.5,UROK,212400,A,36,5900.0
5891,6202,3673341,130.8,41540.4,UROK,65184,A,12,5432.0
3674,5723,1074959,11726.0,12726.0,,23628,A,12,1969.0
6473,6316,3453601,191.6,50988.6,UROK,76908,B,12,6409.0
6034,6228,3453040,42.4,61376.4,UROK,464520,B,60,7742.0
9640,6960,3513203,48.8,20254.8,UROK,76416,A,24,3184.0
9307,6895,3509923,23.0,28627.4,UROK,41904,A,12,3492.0
9265,6888,3509733,157.9,47354.3,UROK,39576,A,12,3298.0
10364,7121,3520589,100.8,29625.1,UROK,21924,A,36,609.0
3834,5754,3657067,99.9,28484.5,UROK,23052,A,12,1921.0
3674,5723,3651536,1.7,12727.7,UROK,23628,A,12,1969.0
1843,5325,542077,8600.0,31697.8,,105804,A,36,2939.0
1801,5316,3589601,166.9,68483.8,UROK,165960,A,36,4610.0
9188,6863,3508711,48.6,17258.6,UROK,127080,A,60,2118.0
8051,6647,3495772,79.0,25619.0,UROK,208320,A,48,4340.0
813,5130,3556863,89.9,26233.4,UROK,24312,A,12,2026.0
4937,6004,1450033,39348.0,95916.2,,143904,A,24,5996.0
2486,5479,3612223,12.5,31132.5,UROK,24516,A,12,2043.0
